PARTAILLE,IDAIRE,POPULATION,JOBS,STOCKFDI,FLUXFDI
288,291,15905,8128.8,347,0
289,294,15727,6968.4,543,0
290,284,15586,5635.62,900,0
291,288,15579,5340.13,349,0
292,296,15560,6395.32,46,0
293,295,15401,5518.74,172,0
294,297,15298,7763.29,161,0
295,290,15145,5766.07,993,10
296,293,15119,7652.25,433,0
297,292,15098,7704.79,291,0
298,309,14589,5681.79,264,0
299,301,14562,6436.23,826,0
300,323,14528,5352.34,74,0
301,300,14394,5744.73,269,0
302,306,14317,5857.08,445,0
303,321,14257,8226.69,926,0
304,317,14175,5330.65,16,0
305,302,14170,6617.77,720,0
306,298,14149,8064.14,986,0
307,311,13914,6709.01,384,0
308,305,13856,7795.11,164,8
309,307,13776,5713.39,228,0
310,310,13682,6470.1,386,0
311,329,13679,9072.79,738,0
312,325,13556,6064.28,50,0
313,318,13419,8237.53,223,0
314,308,13374,6334,670,0
315,312,13280,7050.7,928,0
316,338,13025,6002.52,16,0
317,327,12936,10737.15,355,0
318,328,12888,6817.43,30,0
319,333,12796,6242.51,99,0
320,322,12771,7315.14,207,0
321,349,12754,7401.96,323,0
322,319,12685,5910.86,145,0
323,320,12624,6029.99,111,0
324,332,12518,5936.99,361,0
325,324,12387,7469.69,297,0
326,337,12322,6282.62,598,0
327,346,12316,5884.78,222,175
328,354,12222,5357.12,499,0
329,351,12217,9368.67,384,3
330,343,12214,9004.77,808,0
331,335,12191,5191.83,842,0
332,345,12076,6111.2,200,0
333,315,11947,5872.06,39,0
334,359,11935,6386.42,343,0
335,356,11815,6109.06,11,0
336,334,11810,5156.26,503,0
337,353,11711,5933.05,212,0
338,348,11641,6449.28,588,0
339,363,11190,5611.68,1381,0
340,355,11037,6921.01,42,0
341,350,10905,5504.79,24,0
342,365,10850,5479.74,171,0
343,364,10760,6275.17,832,0
344,362,10673,5904.6,513,0
345,375,10255,11402.23,942,0
346,392,9899,6103.66,268,0
347,372,9858,5271.02,274,0
348,383,9858,5478.48,47,0
349,384,9771,5332.18,65,0
350,369,9690,5265.12,374,0
351,368,9265,7859.87,199,109
352,415,8233,5601.21,1339,114
353,449,7962,5215.17,30,0
354,472,7371,5061.56,576,0
355,371,6925,6419.43,128,0
